GroupYSID,Quota,Signed
2001-1-1405-5131,28,30
2001-1-1500-5134,25,25
2001-1-1500-5135,23,23
2001-1-1500-5133,34,34
2001-1-1500-5138,17,18
2001-1-1500-5137,19,19
2001-1-1500-5136,29,30
2001-1-1500-5320,14,14
2001-1-1501-5141,33,34
2001-1-1501-5139,32,32
2001-1-1501-5140,15,15
2001-1-1501-5144,11,11
2001-1-1501-5142,32,32
2001-1-1501-5143,13,14
2001-1-1502-5146,24,25
2001-1-1502-5145,32,32
2001-1-1502-5147,10,10
2001-1-1502-5149,30,31
2001-1-1502-5150,21,21
2001-1-1502-5148,24,25
2001-1-1503-5209,2,2
2001-1-1503-5212,1,1
2001-1-1503-5214,10,10
2001-1-1503-5216,3,3
2001-1-1503-5217,4,4
2001-1-1503-5218,3,3
2001-1-1503-5219,1,1
2001-1-1503-5220,5,6
2001-1-1503-5222,4,4
2001-1-1503-5223,5,5
2001-1-1503-5225,4,4
2001-1-1503-5227,4,4
2001-1-1503-5228,5,5
2001-1-1503-5229,7,7
2001-1-1503-5230,12,12
2001-1-1503-5231,11,11
2001-1-1503-5232,7,7
2001-1-1503-5233,8,8
2001-1-1503-5234,3,3
2001-1-1503-5235,5,5
2001-1-1503-5236,2,3
2001-1-1503-5237,17,17
2001-1-1503-5238,2,2
2001-1-1503-5239,1,1
2001-1-1503-5334,1,1
2001-1-1503-5346,0,0
2001-1-1503-5350,3,3
2001-1-1503-5353,2,2
2001-1-1600-5151,11,11
2001-1-1600-5152,37,37
2001-1-1600-5154,12,12
2001-1-1600-5153,37,38
2001-1-1600-5322,15,16
2001-1-1601-5157,28,28
2001-1-1601-5155,29,29
2001-1-1601-5158,31,32
2001-1-1601-5156,21,24
2001-1-1601-5159,34,36
2001-1-1602-5161,23,24
2001-1-1602-5160,17,18
2001-1-1602-5326,17,17
2001-1-1602-5163,19,21
2001-1-1602-5162,24,25
2001-1-1603-5240,11,11
2001-1-1603-5242,8,8
2001-1-1603-5243,3,3
2001-1-1603-5246,2,2
2001-1-1603-5247,2,2
2001-1-1603-5248,2,2
2001-1-1603-5251,6,6
2001-1-1603-5252,1,1
2001-1-1603-5253,4,4
2001-1-1603-5255,1,1
2001-1-1603-5256,7,7
2001-1-1603-5257,7,7
2001-1-1603-5258,4,4
2001-1-1603-5259,2,2
2001-1-1603-5260,8,9
2001-1-1603-5261,1,1
2001-1-1603-5330,2,2
2001-1-1603-5342,1,1
2001-1-1700-5262,4,4
2001-1-1700-5263,2,2
2001-1-1700-5264,7,7
2001-1-1700-5266,9,9
2001-1-1700-5267,3,3
2001-1-1700-5268,3,3
2001-1-1700-5269,1,1
2001-1-1700-5270,4,4
2001-1-1700-5271,1,1
2001-1-1700-5272,1,1
2001-1-1700-5273,8,8
2001-1-1700-5275,1,1
2001-1-1700-5276,4,4
2001-1-1700-5277,3,4
2001-1-1700-5278,5,5
2001-1-1700-5279,12,13
2001-1-1700-5280,1,1
2001-1-1700-5283,2,2
2001-1-1700-5284,7,8
2001-1-1700-5285,1,1
2001-1-1700-5286,4,4
2001-1-1700-5288,4,4
2001-1-1700-5289,4,4
2001-1-1700-5290,2,2
2001-1-1700-5291,3,3
2001-1-1700-5329,1,1
2001-1-1700-5332,0,0
2001-1-1700-5340,1,1
2001-1-1700-5343,1,1
2001-1-1700-5352,1,1
2001-1-1800-5292,8,8
2001-1-1800-5293,6,6
2001-1-1800-5294,4,4
2001-1-1800-5295,5,5
2001-1-1800-5296,3,4
2001-1-1800-5297,5,5
2001-1-1800-5298,8,9
2001-1-1800-5299,1,1
2001-1-1800-5300,1,1
2001-1-1800-5301,3,3
2001-1-1800-5302,5,5
2001-1-1800-5305,1,1
2001-1-1800-5306,3,3
2001-1-1800-5307,1,1
2001-1-1800-5308,2,2
2001-1-1800-5333,3,5
2001-1-1800-5341,1,1
2001-1-1800-5345,1,1
2001-2-0001-4091,16,16
2001-2-0001-4092,16,18
2001-2-0001-4093,6,8
2001-2-0002-4120,4,4
2001-2-0002-4121,7,7
2001-2-0003-4154,9,10
2001-2-0003-4192,4,4
2001-2-0004-4194,5,6
2001-2-0005-4064,54,59
2001-2-0005-4066,25,25
2001-2-0005-4065,34,38
2001-2-0005-4216,45,46
2001-2-0005-4067,23,25
2001-2-0005-4167,22,22
2001-2-0006-4077,26,30
2001-2-0006-4219,8,8
2001-2-0006-4211,9,12
2001-2-0006-4078,46,52
2001-2-0006-4080,17,17
2001-2-0006-4079,18,20
2001-2-0006-4170,15,16
2001-2-0007-4005,59,63
2001-2-0007-4006,24,25
2001-2-0007-4007,36,38
2001-2-0007-4008,49,53
2001-2-0007-4009,32,33
2001-2-0007-4010,36,39
2001-2-0007-4011,24,25
2001-2-0007-4012,15,16
2001-2-0007-4164,7,8
2001-2-0008-4035,44,50
