ID,Appointment,SimpAppointment
27842,Profesor de Asignatura ,PA
27849,Profesora de Asignatura ,PA
27861,Ayudante de Profesora de Asignatura ,Ayud
27868,Profesor de Asignatura ,PA
27870,Profesor de Asignatura ,PA
27876,Profesora de Asignatura ,PA
27877,Profesor de Asignatura ,PA
27880,Profesora de Asignatura ,PA
27890,Ayudante de Profesor de Asignatura ,Ayud
27907,Ayudante de Profesor de Asignatura ,Ayud
27914,Profesora de Asignatura ,PA
27916,Ayudante de Profesora de Asignatura ,Ayud
27928,Ayudante de Profesora de Asignatura ,Ayud
27971,Ayudante de Profesora de Asignatura ,Ayud
27972,Profesor de Asignatura ,PA
27990,Técnico Académico Titular ,Tec
27992,Ayudante de Profesora de Asignatura ,Ayud
28021,Profesor de Asignatura ,PA
28030,Ayudante de Profesor de Asignatura ,Ayud
28032,Técnico Académico Asociado ,Tec
28045,Ayudante de Profesor de Asignatura ,Ayud
