ID,CourseName
854,Temas Selectos en Física del Diagnóstico Médico
856,Teoría Celular
858,Demografía Avanzada
859,Introducción a la Administración
861,Modelos Lineales
863,Temas Selectos de Economía
864,Temas Selectos de Investigación de Operaciones
865,Productos Financieros Derivados
866,Seminario de Aplicaciones Actuariales I
867,Seminario de Aplicaciones Actuariales II
868,Seminario de Estadística I
869,Seminario de Estadística II
870,Seminario de Finanzas I
872,Seminario de Investigación de Operaciones
873,Simulación Estocástica
876,Historia y Filosofía del Pensamiento Científico
880,Análisis Funcional Aplicado
882,Seminario de Análisis Numérico
889,Matemáticas Finitas
891,Muestreo
892,Mineralogía Óptica de Minerales Translúcidos
897,Seminario de Estadística
898,Taller de Modelación II
899,Taller de Redacción
900,Física Nuclear y Subnuclear
901,Laboratorio de Física Contemporánea II
903,Robótica Móvil
909,Ciencia Desarrollo y Sociedad
913,Fotografía Científica I
914,Fotografía Científica II
916,Mecánica Celeste
917,Origen y Evolución de los Sistemas Planetarios
918,Aplicación de las Ciencias de la Tierra en la Vigilancia de Ensayos Nucleares
919,Análisis Matemático Aplicado
920,Sistemas Dinámicos no Lineales
921,Formación Científica I
922,Proyecto I
923,Formación Científica II
924,Proyecto II
926,Optimización Numérica
929,Teoría de las Decisiones
930,Solución Numérica de Ecuaciones Diferenciales Ordinarias
931,Solución Numérica de Ecuaciones Diferenciales Parciales
937,Topología Diferencial I
938,Técnicas de Laboratorio
939,Topología Diferencial II
941,Teoría de los Conjuntos III
946,Teoría de Juegos I
947,Teoría de la Medida I
948,Teoría de la Medida II
950,Teoría de Juegos II
951,Seminario de Ciencia y Sociedad I
952,Seminario de Óptica
954,Seminario de Ciencia y Sociedad II
955,Seminario de Apoyo a la Titulación en Actuaría A
956,Seminario de Apoyo a la Titulación en Actuaría B
957,Seminario de Apoyo a la Titulación en Ciencias de la Computación A
958,Seminario de Apoyo a la Titulación en Ciencias de la Computación B
959,Seminario de Apoyo a la Titulación en Matemáticas A
962,Zoología III
963,Zoología IV
964,Seminario de Apoyo a la Titulación en Matemáticas B
966,Temas Selectos de Aprovechamiento Costero-Marino
967,Temas Selectos de Biología y Ecología Costero-Marinas
968,Temas Selectos de Estrategias de Manejo Costero-Marino
970,Temas Selectos de Herramientas Cuantitativas
972,Temas Selectos de Sociedad y Cultura Costeras
975,Seminario de Análisis Combinatorio
977,Seminario de Topología A
979,Seminario de Astrofísica
982,Seminario de Filosofía de la Ciencia I
983,Seminario de Filosofía de la Ciencia II
984,Seminario Sobre Enseñanza Matemáticas III
985,Sociología
986,Seminario de Biología A
987,Seminario de Filosofía de la Ciencia III
